year,country,city,pm10,no2,so2,co,o3,humidity,wind_kph,income_level,temperature_celsius,temp_anomaly_celsius,precipitation_mm,heat_wave_days,drought_indicator,flood_indicator,extreme_weather_events,pm25_ugm3,air_quality_index,respiratory_disease_rate,healthcare_access_index,gdp_per_capita_usd,food_security_index,health_vulnerability,co2_production,hdi,life_expectancy
2019,Argentina,Buenos Aires,157.44532443451956,28.906707326031423,10.333038231064542,0.6359671926567791,28.801846156832053,57.85236523008689,13.681973850840947,Upper-Middle,1.74,-0.39,67.3,0,0,0,0,51.8,73,76.2,60.9,14051,95.5,57.9,3.741917524,0.852,77.2845
2019,Argentina,Buenos Aires,157.44532443451956,28.906707326031423,10.333038231064542,0.6359671926567791,28.801846156832053,57.85236523008689,13.681973850840947,Upper-Middle,3.74,0.41,94.4,0,0,0,0,17.1,41,58.0,63.4,14051,96.4,55.13333333,3.741917524,0.852,77.2845
2019,Argentina,Buenos Aires,157.44532443451956,28.906707326031423,10.333038231064542,0.6359671926567791,28.801846156832053,57.85236523008689,13.681973850840947,Upper-Middle,3.42,-0.33,126.5,0,0,0,0,28.0,19,51.4,57.5,14051,95.2,53.7,3.741917524,0.852,77.2845
2019,Argentina,Buenos Aires,157.44532443451956,28.906707326031423,10.333038231064542,0.6359671926567791,28.801846156832053,57.85236523008689,13.681973850840947,Upper-Middle,4.4,-0.9,56.1,0,0,0,0,55.9,86,70.7,57.1,14051,100.0,56.26666667,3.741917524,0.852,77.2845
2019,Argentina,Buenos Aires,157.44532443451956,28.906707326031423,10.333038231064542,0.6359671926567791,28.801846156832053,57.85236523008689,13.681973850840947,Upper-Middle,7.44,0.39,92.7,0,0,0,0,51.6,73,66.3,59.8,14072,88.3,54.1,3.741917524,0.852,77.2845
2019,Argentina,Buenos Aires,157.44532443451956,28.906707326031423,10.333038231064542,0.6359671926567791,28.801846156832053,57.85236523008689,13.681973850840947,Upper-Middle,8.96,0.21,90.3,0,0,0,0,40.0,63,60.7,64.5,14072,92.3,51.7,3.741917524,0.852,77.2845
2019,Argentina,Buenos Aires,157.44532443451956,28.906707326031423,10.333038231064542,0.6359671926567791,28.801846156832053,57.85236523008689,13.681973850840947,Upper-Middle,8.81,0.14,97.5,1,0,0,1,43.5,61,60.1,59.8,14072,94.6,53.16666667,3.741917524,0.852,77.2845
2019,Argentina,Buenos Aires,157.44532443451956,28.906707326031423,10.333038231064542,0.6359671926567791,28.801846156832053,57.85236523008689,13.681973850840947,Upper-Middle,6.95,0.42,120.1,0,0,0,0,45.2,67,80.0,59.1,14072,95.2,55.56666667,3.741917524,0.852,77.2845
2019,Argentina,Buenos Aires,157.44532443451956,28.906707326031423,10.333038231064542,0.6359671926567791,28.801846156832053,57.85236523008689,13.681973850840947,Upper-Middle,8.44,-0.82,93.1,0,0,0,0,33.4,53,60.8,59.6,14094,90.3,51.73333333,3.741917524,0.852,77.2845
2019,Argentina,Buenos Aires,157.44532443451956,28.906707326031423,10.333038231064542,0.6359671926567791,28.801846156832053,57.85236523008689,13.681973850840947,Upper-Middle,7.31,-0.1,71.1,1,0,0,1,85.5,128,75.7,63.7,14094,87.5,60.56666667,3.741917524,0.852,77.2845
2019,Argentina,Buenos Aires,157.44532443451956,28.906707326031423,10.333038231064542,0.6359671926567791,28.801846156832053,57.85236523008689,13.681973850840947,Upper-Middle,6.42,-0.75,135.2,0,0,0,0,39.2,53,56.0,59.2,14094,99.2,46.66666667,3.741917524,0.852,77.2845
2019,Argentina,Buenos Aires,157.44532443451956,28.906707326031423,10.333038231064542,0.6359671926567791,28.801846156832053,57.85236523008689,13.681973850840947,Upper-Middle,10.91,-0.17,105.3,0,0,0,0,0.0,10,53.7,66.3,14094,100.0,54.36666667,3.741917524,0.852,77.2845
2019,Argentina,Buenos Aires,157.44532443451956,28.906707326031423,10.333038231064542,0.6359671926567791,28.801846156832053,57.85236523008689,13.681973850840947,Upper-Middle,11.28,0.33,132.4,1,0,0,1,27.0,23,50.5,58.0,14094,100.0,52.46666667,3.741917524,0.852,77.2845
2019,Argentina,Buenos Aires,157.44532443451956,28.906707326031423,10.333038231064542,0.6359671926567791,28.801846156832053,57.85236523008689,13.681973850840947,Upper-Middle,9.45,0.05,166.6,0,0,0,0,53.2,99,66.7,64.6,14116,94.0,57.03333333,3.741917524,0.852,77.2845
2019,Argentina,Buenos Aires,157.44532443451956,28.906707326031423,10.333038231064542,0.6359671926567791,28.801846156832053,57.85236523008689,13.681973850840947,Upper-Middle,8.64,-0.43,109.2,1,0,0,1,45.5,67,54.0,63.7,14116,94.5,50.7,3.741917524,0.852,77.2845
2019,Argentina,Buenos Aires,157.44532443451956,28.906707326031423,10.333038231064542,0.6359671926567791,28.801846156832053,57.85236523008689,13.681973850840947,Upper-Middle,11.0,0.61,98.6,0,0,0,0,64.8,106,85.4,58.7,14116,86.1,60.33333333,3.741917524,0.852,77.2845
2019,Argentina,Buenos Aires,157.44532443451956,28.906707326031423,10.333038231064542,0.6359671926567791,28.801846156832053,57.85236523008689,13.681973850840947,Upper-Middle,8.41,0.69,179.6,2,0,1,3,60.0,79,69.1,64.6,14116,81.3,49.66666667,3.741917524,0.852,77.2845
2019,Argentina,Buenos Aires,157.44532443451956,28.906707326031423,10.333038231064542,0.6359671926567791,28.801846156832053,57.85236523008689,13.681973850840947,Upper-Middle,10.8,0.0,65.8,0,0,0,0,43.1,58,50.8,59.8,14137,100.0,50.5,3.741917524,0.852,77.2845
